35411,435
37231,471
37976,470
39988,498
36861,455
36569,449
35304,442
37844,476
31737,441
34443,437
35810,464
34562,459
37909,480
36722,463
37706,460
36282,458
34691,467
36798,450
37523,466
35570,435
38408,490
38262,488
39743,485
33834,440
36194,454
36837,442
35763,453
36462,471
37971,480
38106,480
37278,468
39941,491
35158,432
35794,462
37558,482
38017,464
35642,461
37351,457
33430,428
34323,443
36512,463
34021,443
35016,440
38317,453
39699,509
35930,445
35505,448
35677,468
38823,479
37265,450
34123,432
37355,464
41270,493
37771,475
38427,458
36600,462
36014,449
38406,497
33995,451
34772,442
36884,459
36704,469
35436,462
38571,478
36090,453
34563,446
35140,462
35059,438
32831,435
34202,446
34372,436
38583,495
35436,446
38613,477
35978,467
37217,455
35148,438
36300,465
36287,467
36085,460
34603,438
39029,493
34896,446
36164,454
35415,447
36265,466
36380,446
38481,473
35230,446
34675,454
37958,454
35387,454
37802,456
34908,448
35950,461
37752,485
34200,428
36588,447
33963,452
38240,469
33027,433
36531,466
38027,467
39764,480
38315,455
38412,483
38331,472
36719,470
38398,454
36935,463
37005,457
35961,466
36487,436
37399,456
35419,442
35936,448
34367,464
37183,450
36229,453
37741,468
35745,462
39130,488
33606,430
36887,466
33459,451
36782,447
36030,448
33869,449
35598,425
37975,464
37902,448
34771,440
35654,452
34923,432
34101,438
36228,451
33476,450
35371,455
34150,445
35596,459
36126,450
30354,409
38690,497
36767,453
34801,434
36398,459
35672,450
38092,472
39131,481
36673,464
36774,453
35714,442
40304,507
34292,453
36784,466
37707,470
37798,474
36770,459
37158,450
36409,448
36303,459
34708,465
36506,440
36500,467
32724,419
35545,452
33437,437
34382,425
36653,464
38509,488
36988,441
38329,470
39495,493
37132,461
37750,447
37207,476
34302,466
38247,474
35525,454
36255,463
36869,464
35757,468
33954,434
32705,412
37141,458
35147,437
35971,457
37958,461
36186,461
37031,463
35392,449
32905,447
38779,474
36671,458
36378,471
34581,441
33741,444
41517,497
31860,444
34195,441
37151,472
36821,468
35774,452
37409,476
34916,440
39598,476
37936,460
36928,453
33751,424
36815,466
35517,448
33781,442
36689,469
35347,453
35616,467
33849,448
36635,463
36360,452
35898,467
35303,456
36401,461
37963,463
37305,474
39105,478
33550,426
36458,465
36535,466
35608,448
38317,480
37175,459
37763,449
38392,478
37534,455
35042,445
33850,446
37533,480
35484,460
37288,465
33537,441
36000,448
36666,464
35238,448
32081,442
35060,454
34877,458
36440,451
35995,442
39827,502
37814,461
37907,472
38294,480
35263,435
38370,478
34274,429
36616,461
35917,478
37391,465
39690,484
35554,451
35314,438
37951,462
33801,432
36862,447
34996,440
37610,471
34852,452
38202,482
36103,442
33237,437
36257,462
37458,462
37240,473
37379,469
33925,430
36088,460
39331,479
38108,470
33067,427
33078,443
35933,448
39018,474
35569,455
36132,454
38162,472
38011,466
40005,467
33518,444
36927,470
35359,458
35615,453
34453,450
36742,461
34936,447
38467,455
34929,430
36468,473
36598,450
37987,464
39688,498
36336,454
36171,454
38820,484
33776,438
39919,498
36313,457
32896,431
36007,460
36199,451
35894,453
39566,469
38285,476
38521,483
32002,410
37030,467
35233,453
37437,461
35920,465
36600,469
39405,495
36210,451
34416,429
38182,483
35050,429
33735,444
37008,471
36922,470
35299,453
36000,462
39013,473
36899,461
35654,456
38875,465
34812,430
36832,442
35115,455
37174,460
36540,433
36297,453
36854,447
34440,447
35860,466
35054,427
32696,434
36132,447
37640,475
36326,441
33291,438
37344,469
35853,465
35296,437
34871,440
37186,471
34653,444
37535,464
32655,431
39002,481
37963,476
35240,455
35114,463
33772,444
36289,457
38062,475
36514,444
38793,484
38693,484
35807,455
35801,461
34468,432
35974,460
37377,462
37051,467
36062,448
38342,488
35671,465
34936,454
35428,457
39505,486
40670,501
36750,459
35814,461
33810,456
35344,452
33031,421
35958,443
33672,454
35764,452
38285,460
36167,454
35472,460
40014,507
35109,449
38075,469
35408,451
35505,464
37526,446
35186,467
40034,489
37440,453
37195,481
33381,434
38020,477
33450,436
35503,457
36688,445
34852,455
36207,462
33080,437
35512,468
37979,478
33729,438
35438,450
35959,454
34730,442
37411,447
35755,459
35048,443
34876,448
39163,496
39689,481
35586,480
32023,442
37416,464
35709,461
32286,422
36713,461
37817,486
36797,476
36180,442
35681,450
36509,454
36557,452
37650,450
38407,478
35029,458
39143,470
39019,484
36848,464
34081,423
36809,465
36680,444
37982,461
34100,467
35526,472
36866,479
34964,460
34871,447
38655,474
33144,438
37045,471
38362,481
36293,454
35277,433
38846,481
37853,472
37676,488
33570,450
37462,463
37604,471
36530,454
33430,448
33564,455
35893,450
37005,462
35893,472
35840,445
